enclosure,compound,kot,kow,kwt
M1,Benzene,30.246907409899595,0.2460675826862003,0.21613674192661447
M2,Benzene,31.093234813241942,0.14246027850543183,0.22981472742031323
M3,Benzene,29.840860797470885,0.21308760934561943,0.2456641095391899
M5,Benzene,32.884453825797046,0.1772794675746749,0.20244394258205267
M6,Benzene,30.48403542170355,0.1403904590544099,0.18651652036233832
M7,Benzene,28.58693321100011,0.1996355281726497,0.19534650938062353
M8,Benzene,33.13897506594754,0.21332712139913487,0.2229275238906238
M1,Toluene,25.47252589644663,0.20671652565725324,0.2672868391613708
M2,Toluene,19.018099474148045,0.23622907563042694,0.19257307132715354
M3,Toluene,22.3698473855825,0.24099136967396298,0.2787034548949331
M5,Toluene,22.888895739580402,0.25537221862530285,0.24636957731899237
M6,Toluene,21.998620499186124,0.24345806175666415,0.27969239047128164
M7,Toluene,25.49487098311852,0.2494648973964983,0.26937857576578883
M8,Toluene,30.190621790883405,0.2690661069762555,0.28013745717301713
M1,Ethylbenzene,18.10708368054756,0.26561176937938485,0.2624194390949246
M2,Ethylbenzene,20.539451884126095,0.2242851020484882,0.2778121341814145
M3,Ethylbenzene,17.028581299102484,0.23062963351944268,0.21940080871737072
M5,Ethylbenzene,21.082176809275317,0.22617443497040654,0.2766199261678667
M6,Ethylbenzene,21.05547445915699,0.22272872072682304,0.23769169656682196
M7,Ethylbenzene,18.673694945645874,0.1946571885224879,0.17338693416536874
M8,Ethylbenzene,22.421912445721947,0.25854236642250716,0.22428749303342438
M1,Xylene,16.078295299136567,0.2426490553457726,0.23942785056419955
M2,Xylene,19.049632473123957,0.26744760301516074,0.2508617010646161
M3,Xylene,15.763410427952849,0.17232118357705367,0.2436153691157609
M5,Xylene,14.646047689587125,0.2282716803471919,0.25346463761310406
M6,Xylene,17.813971253028168,0.24006433769518024,0.2685155209192053
M7,Xylene,13.522748413289593,0.1877246202450562,0.20641909015366683
M8,Xylene,12.945827978782319,0.25682517791522536,0.2607926896436985
